date,employee_name,station_id,shift_start,shift_end,holiday_date,weather,ridership
01/01/2024,Juan Dela Cruz,STN01,6:00,14:00,01/01/2024,Rain,9200
01/01/2024,Juan Dela Cruz,STN01,6:00,14:00,01/01/2024,Rain,9200
01/01/2024,Emily Brown,STN03,14:00,22:00,01/01/2024,Rain,7800
01/01/2024,Emily Brown,STN03,14:00,22:00,01/01/2024,Rain,7800
01/01/2024,Mark Reyes,STN02,22:00,6:00,01/01/2024,Cloudy,6500
01/01/2024,John Smith,STN05,6:00,14:00,01/01/2024,Rain,11000
01/01/2024,Ana Santos,STN04,14:00,22:00,01/01/2024,Clear,7200
02/01/2024,Maria Lopez,STN01,6:00,14:00,,Clear,8500
02/01/2024,Robert Johnson,STN02,14:00,22:00,,Cloudy,6900
02/01/2024,Paolo Chua,STN03,22:00,6:00,,Rain,7600
02/01/2024,Jessica Miller,STN04,6:00,14:00,,Clear,7000
02/01/2024,Carlos Lim,STN05,14:00,22:00,,Rain,11500
03/01/2024,Lea Ramos,STN02,6:00,14:00,,Cloudy,6400
03/01/2024,Daniel Carter,STN01,14:00,22:00,,Clear,8800
03/01/2024,Jose Tan,STN03,22:00,6:00,,Rain,7700
03/01/2024,Michael Davis,STN05,6:00,14:00,,Clear,10800
03/01/2024,Grace Villanueva,STN04,14:00,22:00,,Cloudy,7100
04/01/2024,Kevin Wilson,STN01,6:00,14:00,,Clear,9000
04/01/2024,Patricia Gomez,STN02,14:00,22:00,,Rain,6800
04/01/2024,Andrew Lee,STN03,22:00,6:00,,Cloudy,7500
04/01/2024,Michelle Young,STN04,6:00,14:00,,Clear,7200
04/01/2024,Francis Cruz,STN05,14:00,22:00,,Rain,11200
05/01/2024,Steven Clark,STN02,6:00,14:00,,Rain,6600
05/01/2024,Angela Torres,STN01,14:00,22:00,,Clear,9300
05/01/2024,Jason Wright,STN03,22:00,6:00,,Cloudy,7400
05/01/2024,Rowena Santos,STN04,6:00,14:00,,Clear,7100
05/01/2024,David Harris,STN05,14:00,22:00,,Rain,11800
06/01/2024,Kimberly Evans,STN01,6:00,14:00,,Cloudy,8700
06/01/2024,Joshua King,STN02,14:00,22:00,,Clear,7000
06/01/2024,Allan Mendoza,STN03,22:00,6:00,,Rain,7600
06/01/2024,Sarah Walker,STN04,6:00,14:00,,Clear,7200
06/01/2024,Henry Brooks,STN05,14:00,22:00,,Storm,12000
